Table Name,web component,schema,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
lead_staging,,"""lead_staging""        ""id""        ""uuid""        ""NO""        
""lead_staging""        ""source""        ""character varying""        ""NO""        
""lead_staging""        ""source_reference""        ""character varying""        ""YES""        
""lead_staging""        ""lead_data""        ""jsonb""        ""NO""        
""lead_staging""        ""ip_address""        ""character varying""        ""YES""        
""lead_staging""        ""user_agent""        ""text""        ""YES""        
""lead_staging""        ""utm_parameters""        ""jsonb""        ""YES""        
""lead_staging""        ""status""        ""character varying""        ""YES""        ""'NEW'::character varying""
""lead_staging""        ""confidence_score""        ""integer""        ""YES""        
""lead_staging""        ""duplicate_check_result""        ""jsonb""        ""YES""        
""lead_staging""        ""assigned_to""        ""uuid""        ""YES""        
""lead_staging""        ""collection_id""        ""uuid""        ""YES""        
""lead_staging""        ""entity_id""        ""uuid""        ""YES""        
""lead_staging""        ""entity_type""        ""character varying""        ""YES""        
""lead_staging""        ""processing_notes""        ""text""        ""YES""        
""lead_staging""        ""created_at""        ""timestamp without time zone""        ""NO""        
""lead_staging""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",management,,Temporarily stores incoming lead data before processing and conversion to contacts/opportunities.,,null,lead_staging_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (lead_data IS NOT NULL), CHECK (source IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (lead_data), NOT NULL (source), NOT NULL (updated_at)",,,,,,,,
lead_tags,,"""lead_tags""        ""id""        ""uuid""        ""NO""        
""lead_tags""        ""lead_id""        ""uuid""        ""YES""        
""lead_tags""        ""tag""        ""character varying""        ""NO""        
""lead_tags""        ""created_by""        ""uuid""        ""NO""        
""lead_tags""        ""created_at""        ""timestamp without time zone""        ""NO""        ",identification,marketing,"Provides a way to categorize and organize leads with tags, allowing for better segmentation and targeting in the salesBlanket application.",,lead_tags_lead_id_fkey: lead_id → lead_staging.id,"lead_tags_lead_id_tag_key, lead_tags_pkey","CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (tag IS NOT NULL), FOREIGN KEY (lead_id) REFERENCES lead_staging(id), PRIMARY KEY (id), UNIQUE (lead_id), UNIQUE (tag), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (tag)",,,,,,,,
location_departments,,"""location_departments""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""location_departments""        ""location_id""        ""uuid""        ""YES""        
""location_departments""        ""department_id""        ""uuid""        ""YES""        
""location_departments""        ""metadata""        ""jsonb""        ""YES""        
""location_departments""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""location_departments""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,,"Associates locations with departments, defining which departments operate in which locations.",,null,location_departments_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_documentation,,"""location_documentation""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""location_documentation""        ""location_id""        ""uuid""        ""YES""        
""location_documentation""        ""title""        ""character varying""        ""NO""        
""location_documentation""        ""content""        ""text""        ""YES""        
""location_documentation""        ""document_type""        ""character varying""        ""YES""        
""location_documentation""        ""google_doc_id""        ""character varying""        ""YES""        
""location_documentation""        ""version""        ""character varying""        ""YES""        
""location_documentation""        ""is_active""        ""boolean""        ""YES""        ""true""
""location_documentation""        ""requires_acknowledgment""        ""boolean""        ""YES""        ""false""
""location_documentation""        ""voice_enabled""        ""boolean""        ""YES""        ""false""
""location_documentation""        ""metadata""        ""jsonb""        ""YES""        
""location_documentation""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""location_documentation""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,organizational,"Stores documentation specific to locations, such as permits, zoning information, etc.",,null,location_documentation_pkey,"CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), PRIMARY KEY (id), NOT NULL (title)",,,,,,,,
location_drives,,"""location_drives""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""location_drives""        ""location_id""        ""uuid""        ""YES""        
""location_drives""        ""drive_id""        ""uuid""        ""YES""        
""location_drives""        ""name""        ""character varying""        ""YES""        
""location_drives""        ""description""        ""text""        ""YES""        
""location_drives""        ""start_date""        ""date""        ""YES""        
""location_drives""        ""end_date""        ""date""        ""YES""        
""location_drives""        ""is_active""        ""boolean""        ""YES""        ""true""
""location_drives""        ""settings""        ""jsonb""        ""YES""        
""location_drives""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""location_drives""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,,"Maps sales drives to specific geographic locations, allowing location-specific sales processes.",,null,location_drives_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_goals,,"""location_goals""        ""id""        ""uuid""        ""NO""        
""location_goals""        ""location_id""        ""uuid""        ""YES""        
""location_goals""        ""title""        ""character varying""        ""NO""        
""location_goals""        ""description""        ""text""        ""YES""        
""location_goals""        ""goal_type""        ""character varying""        ""YES""        
""location_goals""        ""target_value""        ""numeric""        ""YES""        
""location_goals""        ""current_value""        ""numeric""        ""YES""        
""location_goals""        ""start_date""        ""date""        ""YES""        
""location_goals""        ""target_date""        ""date""        ""YES""        
""location_goals""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""location_goals""        ""priority""        ""integer""        ""YES""        
""location_goals""        ""parent_goal_id""        ""uuid""        ""YES""        
""location_goals""        ""created_by""        ""uuid""        ""NO""        
""location_goals""        ""created_at""        ""timestamp without time zone""        ""NO""        
""location_goals""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",joining table,,"Stores performance goals specific to locations, supporting regional target tracking.",,null,location_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
location_settings,,"""location_settings""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""location_settings""        ""name""        ""character varying""        ""YES""        
""location_settings""        ""street""        ""character varying""        ""YES""        
""location_settings""        ""address_line_2""        ""character varying""        ""YES""        
""location_settings""        ""city""        ""character varying""        ""YES""        
""location_settings""        ""state""        ""character varying""        ""YES""        
""location_settings""        ""postal_code""        ""character varying""        ""YES""        
""location_settings""        ""country""        ""character varying""        ""YES""        
""location_settings""        ""main_phone""        ""character varying""        ""YES""        
""location_settings""        ""website_url""        ""character varying""        ""YES""        
""location_settings""        ""logo_url""        ""character varying""        ""YES""        
""location_settings""        ""industry""        ""character varying""        ""YES""        
""location_settings""        ""default_timezone""        ""character varying""        ""YES""        
""location_settings""        ""default_currency""        ""character varying""        ""YES""        
""location_settings""        ""branding_settings""        ""jsonb""        ""YES""        
""location_settings""        ""metadata""        ""jsonb""        ""YES""        
""location_settings""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""location_settings""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",settings,settings,settings,no,null,location_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_types,,"""location_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""location_types""        ""name""        ""character varying""        ""NO""        
""location_types""        ""description""        ""text""        ""YES""        
""location_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""location_types""        ""settings""        ""jsonb""        ""YES""        
""location_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""location_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,organizational,"Categorizes different types of locations that can be associated with addresses, helping to segment and target specific property types in salesBlanket.",,null,location_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
location_users,,"""location_users""        ""id""        ""uuid""        ""NO""        
""location_users""        ""location_id""        ""uuid""        ""YES""        
""location_users""        ""user_id""        ""uuid""        ""NO""        
""location_users""        ""role""        ""character varying""        ""YES""        
""location_users""        ""is_primary""        ""boolean""        ""YES""        ""false""
""location_users""        ""start_date""        ""date""        ""YES""        
""location_users""        ""end_date""        ""date""        ""YES""        
""location_users""        ""is_active""        ""boolean""        ""YES""        ""true""
""location_users""        ""created_at""        ""timestamp without time zone""        ""NO""        
""location_users""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",employees,funnel employees by locations,user assignment if you have multiple locations it is needed,yes - probably second release,location_users_location_id_fkey: location_id → locations.id,location_users_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (location_id) REFERENCES locations(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
locations,,"""locations""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""locations""        ""name""        ""character varying""        ""NO""        
""locations""        ""location_type_id""        ""uuid""        ""YES""        
""locations""        ""address_id""        ""uuid""        ""YES""        
""locations""        ""status""        ""character varying""        ""YES""        
""locations""        ""metadata""        ""jsonb""        ""YES""        
""locations""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""locations""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""
""locations""        ""corporate_id""        ""uuid""        ""YES""        
""locations""        ""parent_location_id""        ""uuid""        ""YES""        
""locations""        ""phone""        ""character varying""        ""YES""        
""locations""        ""email""        ""character varying""        ""YES""        
""locations""        ""timezone""        ""character varying""        ""YES""        
""locations""        ""operating_hours""        ""jsonb""        ""YES""        ",organizational,you can write more than one location - stays with the same dataset,,yes,"locations_corporate_id_fkey: corporate_id → corporate.id
locations_parent_location_id_fkey: parent_location_id → locations.id",locations_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), FOREIGN KEY (parent_location_id) REFERENCES locations(id), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
marketer_seo_tracking,,"""marketer_seo_tracking""        ""id""        ""uuid""        ""NO""        
""marketer_seo_tracking""        ""marketer_id""        ""uuid""        ""YES""        
""marketer_seo_tracking""        ""page_url""        ""character varying""        ""NO""        
""marketer_seo_tracking""        ""backlink_url""        ""character varying""        ""YES""        
""marketer_seo_tracking""        ""click_count""        ""integer""        ""YES""        ""0""
""marketer_seo_tracking""        ""conversion_count""        ""integer""        ""YES""        ""0""
""marketer_seo_tracking""        ""last_detected""        ""timestamp without time zone""        ""YES""        
""marketer_seo_tracking""        ""created_at""        ""timestamp without time zone""        ""NO""        
""marketer_seo_tracking""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",tracking,marketing,,,marketer_seo_tracking_marketer_id_fkey: marketer_id → marketers.id,marketer_seo_tracking_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (page_url IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (marketer_id) REFERENCES marketers(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (page_url), NOT NULL (updated_at)",,,,,,,,
marketers,,"""marketers""        ""id""        ""uuid""        ""NO""        
""marketers""        ""collection_id""        ""uuid""        ""NO""        
""marketers""        ""name""        ""character varying""        ""NO""        
""marketers""        ""email""        ""character varying""        ""YES""        
""marketers""        ""website""        ""character varying""        ""YES""        
""marketers""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""marketers""        ""referral_code""        ""character varying""        ""YES""        
""marketers""        ""utm_source""        ""character varying""        ""YES""        
""marketers""        ""utm_medium""        ""character varying""        ""YES""        
""marketers""        ""utm_campaign""        ""character varying""        ""YES""        
""marketers""        ""commission_rate""        ""numeric""        ""YES""        
""marketers""        ""total_referrals""        ""integer""        ""YES""        ""0""
""marketers""        ""last_login""        ""timestamp without time zone""        ""YES""        
""marketers""        ""created_by""        ""uuid""        ""NO""        
""marketers""        ""metadata""        ""jsonb""        ""YES""        
""marketers""        ""created_at""        ""timestamp without time zone""        ""NO""        
""marketers""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",parental entity,,,,null,marketers_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
metadata_field_permissions,"JSONPathSelector, MetadataPermissionsEditor components; Manages access to specific data within JSON fields","""metadata_field_permissions""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""metadata_field_permissions""        ""table_name""        ""character varying""        ""NO""        
""metadata_field_permissions""        ""json_path""        ""character varying""        ""NO""        
""metadata_field_permissions""        ""permission_type""        ""character varying""        ""NO""        
""metadata_field_permissions""        ""role_id""        ""uuid""        ""YES""        
""metadata_field_permissions""        ""is_allowed""        ""boolean""        ""YES""        ""false""
""metadata_field_permissions""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""",permissions,JSON paths,Controls access to specific paths within metadata JSON fields for granular security,yes,metadata_field_permissions_role_id_fkey: role_id → roles.id,"metadata_field_permissions_pkey, idx_metadata_perm_unique","CHECK (id IS NOT NULL), CHECK (json_path IS NOT NULL), CHECK (permission_type IS NOT NULL), CHECK (table_name IS NOT NULL), FOREIGN KEY (role_id) REFERENCES roles(id), PRIMARY KEY (id), NOT NULL (json_path), NOT NULL (permission_type), NOT NULL (table_name)",,permission configuration,,,permission cache update,cascade delete when role is deleted,,
neighborhood_goals,,"""neighborhood_goals""        ""id""        ""uuid""        ""NO""        
""neighborhood_goals""        ""neighborhood_id""        ""uuid""        ""YES""        
""neighborhood_goals""        ""title""        ""character varying""        ""NO""        
""neighborhood_goals""        ""description""        ""text""        ""YES""        
""neighborhood_goals""        ""goal_type""        ""character varying""        ""YES""        
""neighborhood_goals""        ""target_value""        ""numeric""        ""YES""        
""neighborhood_goals""        ""current_value""        ""numeric""        ""YES""        
""neighborhood_goals""        ""start_date""        ""date""        ""YES""        
""neighborhood_goals""        ""target_date""        ""date""        ""YES""        
""neighborhood_goals""        ""status""        ""character varying""        ""YES""        ""'ACTIVE'::character varying""
""neighborhood_goals""        ""priority""        ""integer""        ""YES""        
""neighborhood_goals""        ""parent_goal_id""        ""uuid""        ""YES""        
""neighborhood_goals""        ""created_by""        ""uuid""        ""NO""        
""neighborhood_goals""        ""created_at""        ""timestamp without time zone""        ""NO""        
""neighborhood_goals""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",tracking,neighborhoods,,,null,neighborhood_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
neighborhood_streets,,"""neighborhood_streets""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""neighborhood_streets""        ""neighborhood_id""        ""uuid""        ""YES""        
""neighborhood_streets""        ""name""        ""character varying""        ""NO""        
""neighborhood_streets""        ""start_address_number""        ""integer""        ""YES""        
""neighborhood_streets""        ""end_address_number""        ""integer""        ""YES""        
""neighborhood_streets""        ""address_parity""        ""character varying""        ""YES""        
""neighborhood_streets""        ""geometry""        ""USER-DEFINED""        ""YES""        
""neighborhood_streets""        ""metadata""        ""jsonb""        ""YES""        
""neighborhood_streets""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""neighborhood_streets""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",joining table,,"Maps streets to neighborhoods, establishing the geographic hierarchy for address management.",,null,neighborhood_streets_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
neighborhoods,,"""neighborhoods""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""neighborhoods""        ""name""        ""character varying""        ""NO""        
""neighborhoods""        ""description""        ""text""        ""YES""        
""neighborhoods""        ""boundaries""        ""USER-DEFINED""        ""YES""        
""neighborhoods""        ""metadata""        ""jsonb""        ""YES""        
""neighborhoods""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""neighborhoods""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",geo spacial entities,organizational,create collections of streets and catogorize them as a neighborhood.  you can assign a team to the neighborhood,yes,null,neighborhoods_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
notification_channels,,"""notification_channels""        ""id""        ""uuid""        ""NO""        
""notification_channels""        ""name""        ""character varying""        ""NO""        
""notification_channels""        ""channel_type""        ""character varying""        ""NO""        
""notification_channels""        ""configuration""        ""jsonb""        ""YES""        
""notification_channels""        ""is_active""        ""boolean""        ""YES""        ""true""
""notification_channels""        ""created_at""        ""timestamp without time zone""        ""NO""        
""notification_channels""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",communications,app notifications for users ,"notification for events, assignments, workflows, when deals close with salesman and when deals are completed and paid",maybe,null,notification_channels_pkey,"CHECK (channel_type IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (channel_type), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
notification_rules,,"""notification_rules""        ""id""        ""uuid""        ""NO""        
""notification_rules""        ""name""        ""character varying""        ""NO""        
""notification_rules""        ""description""        ""text""        ""YES""        
""notification_rules""        ""event_type""        ""character varying""        ""NO""        
""notification_rules""        ""conditions""        ""jsonb""        ""YES""        
""notification_rules""        ""actions""        ""jsonb""        ""YES""        
""notification_rules""        ""is_active""        ""boolean""        ""YES""        ""true""
""notification_rules""        ""created_by""        ""uuid""        ""NO""        
""notification_rules""        ""created_at""        ""timestamp without time zone""        ""NO""        
""notification_rules""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",rules,,,,null,notification_rules_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (event_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (event_type), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
notification_settings,,"""notification_settings""        ""id""        ""uuid""        ""NO""        
""notification_settings""        ""user_id""        ""uuid""        ""NO""        
""notification_settings""        ""notification_type""        ""character varying""        ""NO""        
""notification_settings""        ""channel_id""        ""uuid""        ""YES""        
""notification_settings""        ""is_enabled""        ""boolean""        ""YES""        ""true""
""notification_settings""        ""frequency""        ""character varying""        ""YES""        
""notification_settings""        ""quiet_hours""        ""jsonb""        ""YES""        
""notification_settings""        ""created_at""        ""timestamp without time zone""        ""NO""        
""notification_settings""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",settings,settings,settings,no,notification_settings_channel_id_fkey: channel_id → notification_channels.id,notification_settings_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (notification_type IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (channel_id) REFERENCES notification_channels(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (notification_type), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
notification_types,,"""notification_types""        ""id""        ""uuid""        ""NO""        ""uuid_generate_v4()""
""notification_types""        ""name""        ""character varying""        ""NO""        
""notification_types""        ""description""        ""text""        ""YES""        
""notification_types""        ""icon""        ""character varying""        ""YES""        
""notification_types""        ""color""        ""character varying""        ""YES""        
""notification_types""        ""template_title""        ""character varying""        ""YES""        
""notification_types""        ""template_message""        ""text""        ""YES""        
""notification_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""notification_types""        ""settings""        ""jsonb""        ""YES""        
""notification_types""        ""created_at""        ""timestamp with time zone""        ""YES""        ""now()""
""notification_types""        ""updated_at""        ""timestamp with time zone""        ""YES""        ""now()""",identification,notifations,"Defines different notification types that can be sent to users, supporting the communication system within salesBlanket.",,null,notification_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
notifications,,"""notifications""        ""id""        ""uuid""        ""NO""        
""notifications""        ""user_id""        ""uuid""        ""NO""        
""notifications""        ""title""        ""character varying""        ""NO""        
""notifications""        ""content""        ""text""        ""YES""        
""notifications""        ""notification_type""        ""character varying""        ""YES""        
""notifications""        ""resource_type""        ""character varying""        ""YES""        
""notifications""        ""resource_id""        ""uuid""        ""YES""        
""notifications""        ""channel_id""        ""uuid""        ""YES""        
""notifications""        ""is_read""        ""boolean""        ""YES""        ""false""
""notifications""        ""read_at""        ""timestamp without time zone""        ""YES""        
""notifications""        ""sent_at""        ""timestamp without time zone""        ""YES""        
""notifications""        ""expires_at""        ""timestamp without time zone""        ""YES""        
""notifications""        ""metadata""        ""jsonb""        ""YES""        
""notifications""        ""created_at""        ""timestamp without time zone""        ""NO""        
""notifications""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",entities,communications,notification records for trigger stored here ,yes,null,"idx_notifications_user_read, notifications_pkey, idx_notifications_created_at","CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
object_components,,"""object_components""        ""id""        ""uuid""        ""NO""        
""object_components""        ""object_id""        ""uuid""        ""YES""        
""object_components""        ""component_type""        ""character varying""        ""NO""        
""object_components""        ""name""        ""character varying""        ""NO""        
""object_components""        ""parent_component_id""        ""uuid""        ""YES""        
""object_components""        ""metadata""        ""jsonb""        ""YES""        
""object_components""        ""created_at""        ""timestamp without time zone""        ""NO""        
""object_components""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",components,estimate/financial items - dynamic,ability to craft dynamic documents,no,"object_components_object_id_fkey: object_id → objects.id
object_components_parent_component_id_fkey: parent_component_id → object_components.id",object_components_pkey,"CHECK (component_type IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (object_id) REFERENCES objects(id), FOREIGN KEY (parent_component_id) REFERENCES object_components(id), PRIMARY KEY (id), NOT NULL (component_type), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
object_media,,"""object_media""        ""id""        ""uuid""        ""NO""        
""object_media""        ""object_id""        ""uuid""        ""YES""        
""object_media""        ""component_id""        ""uuid""        ""YES""        
""object_media""        ""media_type""        ""character varying""        ""NO""        
""object_media""        ""name""        ""character varying""        ""NO""        
""object_media""        ""storage_info""        ""jsonb""        ""YES""        
""object_media""        ""file_metadata""        ""jsonb""        ""YES""        
""object_media""        ""capture_metadata""        ""jsonb""        ""YES""        
""object_media""        ""analysis_data""        ""jsonb""        ""YES""        
""object_media""        ""created_by""        ""uuid""        ""NO""        
""object_media""        ""created_at""        ""timestamp without time zone""        ""NO""        
""object_media""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",components,"photos, videos, documents for dynamic documents","add photo pages, line items, block estimates",no,"object_media_component_id_fkey: component_id → object_components.id
object_media_object_id_fkey: object_id → objects.id",object_media_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (media_type IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (component_id) REFERENCES object_components(id), FOREIGN KEY (object_id) REFERENCES objects(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (media_type), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
object_types,,"""object_types""        ""id""        ""uuid""        ""NO""        
""object_types""        ""domain""        ""character varying""        ""NO""        
""object_types""        ""name""        ""character varying""        ""NO""        
""object_types""        ""description""        ""text""        ""YES""        
""object_types""        ""icon""        ""character varying""        ""YES""        
""object_types""        ""color""        ""character varying""        ""YES""        
""object_types""        ""metadata_schema""        ""jsonb""        ""YES""        
""object_types""        ""is_active""        ""boolean""        ""YES""        ""true""
""object_types""        ""created_at""        ""timestamp without time zone""        ""NO""        
""object_types""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",identifications,estimate/financial items - dynamic,"Provides a general-purpose type system for objects that don't fit into other specific categories, offering flexibility within the salesBlanket application.",,null,object_types_pkey,"CHECK (created_at IS NOT NULL), CHECK (domain IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (domain), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
objects,,"""objects""        ""id""        ""uuid""        ""NO""        
""objects""        ""object_type_id""        ""uuid""        ""YES""        
""objects""        ""entity_id""        ""uuid""        ""NO""        
""objects""        ""entity_type""        ""character varying""        ""NO""        
""objects""        ""collection_id""        ""uuid""        ""NO""        
""objects""        ""name""        ""character varying""        ""NO""        
""objects""        ""status""        ""character varying""        ""YES""        
""objects""        ""description""        ""text""        ""YES""        
""objects""        ""metadata""        ""jsonb""        ""YES""        
""objects""        ""created_by""        ""uuid""        ""NO""        
""objects""        ""created_at""        ""timestamp without time zone""        ""NO""        
""objects""        ""updated_at""        ""timestamp without time zone""        ""NO""        ",entities,sale items - dynamic,"estimates, contracts",no,objects_object_type_id_fkey: object_type_id → object_types.id,objects_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (object_type_id) REFERENCES object_types(id), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
